ForecastID,ds,Confirmed
15,2020-12-07,177277.2622423485
16,2020-12-07,196453.92791292752
17,2020-12-07,254331.6438324618
18,2020-12-07,13158.684967718786
19,2020-12-07,212497.36845862304
65,2020-12-08,179730.30691430625
66,2020-12-08,199300.3405018118
67,2020-12-08,256857.54902248445
68,2020-12-08,13342.762796257803
69,2020-12-08,214520.5088898638
115,2020-12-09,182375.53225466213
116,2020-12-09,202363.90830337827
117,2020-12-09,259176.39964930448
118,2020-12-09,13529.42357490382
119,2020-12-09,216505.3401404427
165,2020-12-10,184987.70005485663
166,2020-12-10,205404.45844520623
167,2020-12-10,261549.7721304301
168,2020-12-10,13723.191229363501
169,2020-12-10,218669.28110367703
215,2020-12-11,187739.5121863604
216,2020-12-11,208860.51420745856
217,2020-12-11,264045.16438043455
218,2020-12-11,13925.465401371639
219,2020-12-11,220868.6454007391
265,2020-12-12,189889.20344082935
266,2020-12-12,212380.6008371027
267,2020-12-12,265687.0389347123
268,2020-12-12,14117.456335014382
269,2020-12-12,223100.7519733217
315,2020-12-13,192740.79647778987
316,2020-12-13,214051.58827057926
317,2020-12-13,268389.22858618747
318,2020-12-13,14304.85290781101
319,2020-12-13,225137.958247334
